objective_id,domain_id,domain_name,objective_text,batch_001_questions,batch_002_questions,batch_003_questions,batch_004_questions,cumulative_questions,question_ids,stimulus_question_ids
3.2.a,3.0,IP Routing,Troubleshoot static default routes.,0,1,0,1,2,CCNA301V2-0000047|CCNA301V2-0000107,
3.2.b,3.0,IP Routing,Troubleshoot static network routes.,1,0,1,0,2,CCNA301V2-0000017|CCNA301V2-0000077,
3.2.c,3.0,IP Routing,Troubleshoot static host routes.,0,1,0,1,2,CCNA301V2-0000048|CCNA301V2-0000108,
3.2.d,3.0,IP Routing,Troubleshoot floating static routes.,1,0,1,0,2,CCNA301V2-0000018|CCNA301V2-0000078,
3.3,3.0,IP Routing,Configure single-area OSPF for IPv4 and IPv6.,0,1,1,1,3,CCNA301V2-0000051|CCNA301V2-0000079|CCNA301V2-0000109,CCNA301V2-0000109
3.3.a,3.0,IP Routing,Configure and troubleshoot OSPF neighbor adjacencies.,1,0,1,0,2,CCNA301V2-0000019|CCNA301V2-0000080,CCNA301V2-0000019|CCNA301V2-0000080
3.3.b,3.0,IP Routing,Configure OSPF on point-to-point links.,0,1,0,1,2,CCNA301V2-0000049|CCNA301V2-0000110,
3.3.c,3.0,IP Routing,Configure OSPF on broadcast networks.,0,1,0,0,1,CCNA301V2-0000050,CCNA301V2-0000050
3.3.d,3.0,IP Routing,Configure and verify the OSPF router ID.,1,0,0,0,1,CCNA301V2-0000020,
3.4,3.0,IP Routing,Interpret the operational state of first-hop redundancy protocols.,1,0,1,1,3,CCNA301V2-0000021|CCNA301V2-0000081|CCNA301V2-0000111,
4.1,4.0,Network Services and Security,Configure local management identities and centralized AAA clients.,1,0,1,1,3,CCNA301V2-0000022|CCNA301V2-0000082|CCNA301V2-0000112,
4.2,4.0,Network Services and Security,Manage configuration and software files with secure transfer.,1,0,1,1,3,CCNA301V2-0000023|CCNA301V2-0000083|CCNA301V2-0000113,
4.3,4.0,Network Services and Security,Configure NAT and PAT on IOS XE routers.,1,1,1,1,4,CCNA301V2-0000024|CCNA301V2-0000053|CCNA301V2-0000084|CCNA301V2-0000114,CCNA301V2-0000024|CCNA301V2-0000053|CCNA301V2-0000114
4.4,4.0,Network Services and Security,Diagnose name-resolution faults involving common DNS records.,1,0,1,0,2,CCNA301V2-0000025|CCNA301V2-0000085,
4.5,4.0,Network Services and Security,Explain IPsec remote-access and site-to-site VPNs.,0,1,0,1,2,CCNA301V2-0000052|CCNA301V2-0000115,
4.6,4.0,Network Services and Security,Configure IPv4 access control lists.,1,1,1,0,3,CCNA301V2-0000026|CCNA301V2-0000054|CCNA301V2-0000086,CCNA301V2-0000026|CCNA301V2-0000086
4.7,4.0,Network Services and Security,Configure Layer 2 security controls.,0,0,0,0,0,,
4.7.a,4.0,Network Services and Security,Configure DHCP snooping.,1,0,0,1,2,CCNA301V2-0000027|CCNA301V2-0000116,
4.7.b,4.0,Network Services and Security,Configure Dynamic ARP Inspection.,0,1,0,1,2,CCNA301V2-0000055|CCNA301V2-0000117,CCNA301V2-0000117
4.7.c,4.0,Network Services and Security,Configure storm control.,0,1,0,0,1,CCNA301V2-0000056,CCNA301V2-0000056
4.7.d,4.0,Network Services and Security,Configure IPv6 Router Advertisement Guard.,0,1,0,0,1,CCNA301V2-0000057,
4.7.e,4.0,Network Services and Security,Configure switch-port security.,0,0,1,0,1,CCNA301V2-0000087,CCNA301V2-0000087
5.1,5.0,"AI, and Network Operations and Management",Explain how agentic AI can support network operations.,0,1,0,1,2,CCNA301V2-0000058|CCNA301V2-0000118,
5.2,5.0,"AI, and Network Operations and Management",Choose effective prompts for generative AI in network operations.,1,0,1,0,2,CCNA301V2-0000028|CCNA301V2-0000088,
5.3,5.0,"AI, and Network Operations and Management",Explain common network-management approaches.,0,1,0,1,2,CCNA301V2-0000060|CCNA301V2-0000119,CCNA301V2-0000119
5.4,5.0,"AI, and Network Operations and Management",Explain the role of SNMP in network operations.,0,1,0,1,2,CCNA301V2-0000059|CCNA301V2-0000120,CCNA301V2-0000059
5.5,5.0,"AI, and Network Operations and Management",Use Ansible to execute network-device commands.,1,0,1,0,2,CCNA301V2-0000029|CCNA301V2-0000089,CCNA301V2-0000029|CCNA301V2-0000089
5.6,5.0,"AI, and Network Operations and Management",Interpret syslog messages.,1,0,1,0,2,CCNA301V2-0000030|CCNA301V2-0000090,
