objective_id,domain_id,domain_name,domain_weight_percent,objective_text,batch_001_questions,batch_002_questions,cumulative_questions,question_ids,stimulus_question_ids
2.2,2.0,Switching and Network Access,25,Configure edge switch-port attributes for connected hosts.,0,0,0,,
2.2.a,2.0,Switching and Network Access,25,"Configure edge ports for desktops, printers, and IoT appliances.",0,1,1,CCNA301V2-0000040,
2.2.b,2.0,Switching and Network Access,25,Configure edge ports for wireless access points.,0,1,1,CCNA301V2-0000041,
2.2.c,2.0,Switching and Network Access,25,Configure edge ports for Voice over IP phones.,1,0,1,CCNA301V2-0000012,
2.2.d,2.0,Switching and Network Access,25,Configure edge connectivity for virtualized hosts.,0,1,1,CCNA301V2-0000042,CCNA301V2-0000042
2.2.e,2.0,Switching and Network Access,25,Configure edge connectivity for network appliances.,0,1,1,CCNA301V2-0000043,
2.3,2.0,Switching and Network Access,25,Validate network documentation with CDP and LLDP.,1,0,1,CCNA301V2-0000013,
2.4,2.0,Switching and Network Access,25,Troubleshoot basic Layer 2 and Layer 3 connectivity and device operation.,0,1,1,CCNA301V2-0000044,CCNA301V2-0000044
2.5,2.0,Switching and Network Access,25,Configure Rapid PVST+ operation.,0,0,0,,
2.5.a,2.0,Switching and Network Access,25,Configure and identify Rapid PVST+ root and port selections.,1,0,1,CCNA301V2-0000014,CCNA301V2-0000014
2.5.b,2.0,Switching and Network Access,25,Interpret Rapid PVST+ port states and roles.,0,0,0,,
2.5.c,2.0,Switching and Network Access,25,Configure PortFast appropriately.,0,1,1,CCNA301V2-0000045,
2.5.d,2.0,Switching and Network Access,25,Configure spanning-tree guard features.,1,0,1,CCNA301V2-0000015,
3.1,3.0,IP Routing,20,Interpret routing tables to determine a packet next hop.,1,1,2,CCNA301V2-0000016|CCNA301V2-0000046,CCNA301V2-0000016|CCNA301V2-0000046
3.2,3.0,IP Routing,20,Troubleshoot IPv4 and IPv6 static routing.,0,0,0,,
3.2.a,3.0,IP Routing,20,Troubleshoot static default routes.,0,1,1,CCNA301V2-0000047,
3.2.b,3.0,IP Routing,20,Troubleshoot static network routes.,1,0,1,CCNA301V2-0000017,
3.2.c,3.0,IP Routing,20,Troubleshoot static host routes.,0,1,1,CCNA301V2-0000048,
3.2.d,3.0,IP Routing,20,Troubleshoot floating static routes.,1,0,1,CCNA301V2-0000018,
3.3,3.0,IP Routing,20,Configure single-area OSPF for IPv4 and IPv6.,0,1,1,CCNA301V2-0000051,
3.3.a,3.0,IP Routing,20,Configure and troubleshoot OSPF neighbor adjacencies.,1,0,1,CCNA301V2-0000019,CCNA301V2-0000019
3.3.b,3.0,IP Routing,20,Configure OSPF on point-to-point links.,0,1,1,CCNA301V2-0000049,
3.3.c,3.0,IP Routing,20,Configure OSPF on broadcast networks.,0,1,1,CCNA301V2-0000050,CCNA301V2-0000050
3.3.d,3.0,IP Routing,20,Configure and verify the OSPF router ID.,1,0,1,CCNA301V2-0000020,
3.4,3.0,IP Routing,20,Interpret the operational state of first-hop redundancy protocols.,1,0,1,CCNA301V2-0000021,
4.1,4.0,Network Services and Security,20,Configure local management identities and centralized AAA clients.,1,0,1,CCNA301V2-0000022,
4.2,4.0,Network Services and Security,20,Manage configuration and software files with secure transfer.,1,0,1,CCNA301V2-0000023,
4.3,4.0,Network Services and Security,20,Configure NAT and PAT on IOS XE routers.,1,1,2,CCNA301V2-0000024|CCNA301V2-0000053,CCNA301V2-0000024|CCNA301V2-0000053
4.4,4.0,Network Services and Security,20,Diagnose name-resolution faults involving common DNS records.,1,0,1,CCNA301V2-0000025,
4.5,4.0,Network Services and Security,20,Explain IPsec remote-access and site-to-site VPNs.,0,1,1,CCNA301V2-0000052,
4.6,4.0,Network Services and Security,20,Configure IPv4 access control lists.,1,1,2,CCNA301V2-0000026|CCNA301V2-0000054,CCNA301V2-0000026
4.7,4.0,Network Services and Security,20,Configure Layer 2 security controls.,0,0,0,,
4.7.a,4.0,Network Services and Security,20,Configure DHCP snooping.,1,0,1,CCNA301V2-0000027,
4.7.b,4.0,Network Services and Security,20,Configure Dynamic ARP Inspection.,0,1,1,CCNA301V2-0000055,
4.7.c,4.0,Network Services and Security,20,Configure storm control.,0,1,1,CCNA301V2-0000056,CCNA301V2-0000056
4.7.d,4.0,Network Services and Security,20,Configure IPv6 Router Advertisement Guard.,0,1,1,CCNA301V2-0000057,
4.7.e,4.0,Network Services and Security,20,Configure switch-port security.,0,0,0,,
5.1,5.0,"AI, and Network Operations and Management",10,Explain how agentic AI can support network operations.,0,1,1,CCNA301V2-0000058,
5.2,5.0,"AI, and Network Operations and Management",10,Choose effective prompts for generative AI in network operations.,1,0,1,CCNA301V2-0000028,
5.3,5.0,"AI, and Network Operations and Management",10,Explain common network-management approaches.,0,1,1,CCNA301V2-0000060,
5.4,5.0,"AI, and Network Operations and Management",10,Explain the role of SNMP in network operations.,0,1,1,CCNA301V2-0000059,CCNA301V2-0000059
5.5,5.0,"AI, and Network Operations and Management",10,Use Ansible to execute network-device commands.,1,0,1,CCNA301V2-0000029,CCNA301V2-0000029
5.6,5.0,"AI, and Network Operations and Management",10,Interpret syslog messages.,1,0,1,CCNA301V2-0000030,
