source_id,organization,title,publication_version,url,notes
SRC-CISCO-IOSXE-RPVST,Cisco,Configure Spanning Tree Protocol,Cisco IOS XE 17.15 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/17-15/configuration_guide/lyr2/b_1715_lyr2_9300_cg/configuring_spanning_tree_protocol.html,"Rapid PVST+ roots, roles, states, PortFast, and verification."
SRC-CISCO-IOSXE-STP-GUARDS,Cisco,Configure Optional Spanning Tree Features,Cisco IOS XE 26.x documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/26-x/configuration_guide/lyr2/b_26x_lyr2_9300_cg/configuring_optional_spanning_tree_features.html,"BPDU guard, root guard, loop guard, and related protection behavior."
SRC-CISCO-IOSXE-STATIC-ROUTING,Cisco,Basic IP Routing and Static Routes,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/ip-routing/b-ip-routing/m_iri-iprouting.html,IPv4 routing-table interpretation and static-route configuration.
SRC-CISCO-IOSXE-IPV6-STATIC,Cisco,IPv6 Static Routing,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/ip-routing/b-ip-routing/m_ip6-route-static-xe.html,IPv6 static-route configuration and verification.
SRC-CISCO-IOSXE-OSPF,Cisco,OSPF Configuration,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/ip-routing/b-ip-routing/m_iro-cfg-0.html,"Single-area OSPFv2 configuration, neighbors, network types, and router IDs."
SRC-CISCO-IOSXE-OSPFV3,Cisco,OSPFv3 for IPv6,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/ip-routing/b-ip-routing/m_ip6-route-ospfv3-xe.html,OSPFv3 configuration and IPv6 route exchange.
SRC-CISCO-IOSXE-HSRP,Cisco,Hot Standby Router Protocol,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/network-services/network-services/m_fhp-hsrp-0.html,"HSRP roles, priorities, virtual addresses, preemption, and verification."
SRC-CISCO-IOSXE-VRRP,Cisco,Virtual Router Redundancy Protocol,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/ios/ios_xe/ipapp/configuration/guide/2_xe/ipapp_xe_book/ipapp_vrrp_xe.html,"VRRP master and backup operation, priorities, and verification."
SRC-CISCO-IOSXE-TACACS,Cisco,TACACS+ Configuration,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/sec-vpn/b-security-vpn/m_sec-cfg-tacacs-0.html,AAA client configuration for TACACS+ management access.
SRC-CISCO-IOSXE-RADIUS,Cisco,RADIUS Configuration Guide,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/sec-crypto/radius/radius-configuration-guide/radius.html,AAA client configuration for RADIUS management access.
SRC-CISCO-IOSXE-SFTP,Cisco,Configure SFTP with Username and Password,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/sec-vpn/b-security-vpn/m_ssh-configuring-sftp-username-and-password.html,Secure file transfer with SFTP.
SRC-CISCO-IOSXE-SCP,Cisco,Secure Copy Configuration,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/security-vpn/security-vpn/m_sec-usr-ssh-sec-copy-0.html,"Secure Copy prerequisites, server behavior, and transfers."
SRC-CISCO-IOSXE-NAT,Cisco,NAT Address Conservation Configuration,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/ip-addressing/b-ip-addressing/m_iadnat-addr-consv-xe.html,"Static NAT, dynamic NAT, PAT overload, inside or outside roles, and verification."
SRC-CISCO-DNS-TROUBLESHOOT,Cisco,DNS Configuration and Troubleshooting Guidance,Cisco Support documentation,https://www.cisco.com/c/en/us/support/docs/ip/domain-name-system-dns/24182-reversedns.html,DNS name-resolution and reverse-lookup troubleshooting.
SRC-CISCO-IOSXE-IPSEC,Cisco,IPsec VPN Configuration,Cisco IOS XE 17.x documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios/config/17-x/sec-vpn/b-security-vpn/m_sec-cfg-vpn-ipsec-0.html,"IPsec protocols, modes, security associations, and VPN configuration context."
SRC-CISCO-IOSXE-ACL,Cisco,Access Control Lists Configuration Guide,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/security/acls/acls-configuration-guide/access-control-lists.html,"Standard and extended IPv4 ACL syntax, order, placement, and verification."
SRC-CISCO-IOSXE-DHCP-SNOOP,Cisco,DHCP Snooping Configuration,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/sec-crypto/fhs-sisf/fhs-and-sisf-configuration-guide/dhcp-snooping.html,"Trusted ports, binding tables, VLAN scope, and DHCP-snooping verification."
SRC-CISCO-IOSXE-DAI,Cisco,Dynamic ARP Inspection Configuration,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/sec-crypto/fhs-sisf/fhs-and-sisf-configuration-guide/dynamic-arp-inspection.html,"DAI validation, trusted ports, DHCP bindings, and verification."
SRC-CISCO-IOSXE-STORM,Cisco,Storm Control Configuration,Cisco Catalyst 9000 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/c9000/lyr2-fwd/flowcontrol-stormcontrol/flow-control-and-storm-control-configuration-guide/m-storm-control.html,"Storm-control traffic types, thresholds, actions, and verification."
SRC-CISCO-IOSXE-RA-GUARD,Cisco,IPv6 Router Advertisement Guard,Cisco IOS XE documentation,https://www.cisco.com/c/en/us/td/docs/routers/ios-xe/security-vpn/security-vpn/m_ip6-ra-guard.html,"RA Guard roles, policies, attachment, and verification."
SRC-CISCO-IOSXE-PORT-SEC,Cisco,Port Security Configuration,Cisco IOS XE 17.14 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/17-14/configuration_guide/sec/b_1714_sec_9300_cg/port_security.html,"Secure MAC learning, limits, violation modes, aging, and verification."
SRC-CISCO-AI-PROMPT,Cisco,Prompt Guide for Cisco AI Assistant,Current Cisco documentation,https://www.cisco.com/c/en/us/td/docs/security/cdo/ai-assistant/cisco-ai-assistant-user-guide/m_prompt-guide-for-cisco-ai-assistant.html,"Prompt components, instructions, persona, context, and output guidance."
SRC-CISCO-AI-PRIVACY,Cisco,Cisco AI Assistant FAQ and Data Guidance,Current Cisco documentation,https://www.cisco.com/c/en/us/td/docs/security/cdo/ai-assistant/cisco-ai-assistant-guide/m_cisco-ai-assistant-faq.html,"Data handling, privacy, verification, and AI-use boundaries."
SRC-CISCO-IAC,Cisco,Infrastructure as Code Fundamentals,Cisco Network as Code documentation,https://netascode.cisco.com/docs/guides/branch/02_understanding-iac/,"Intended state, declarative management, version control, and automation workflows."
SRC-CISCO-DEVNET-ANSIBLE,Cisco DevNet,Ansible Network Automation Resources,Current DevNet resources,https://developer.cisco.com/automation-ansible/,Cisco-supported Ansible network-automation learning and integration resources.
SRC-ANSIBLE-IOS-PLATFORM,Red Hat Ansible,Cisco IOS Platform Options,Current Ansible documentation,https://docs.ansible.com/projects/ansible/latest/network/user_guide/platform_ios.html,"Official connection, inventory, and platform variables for Cisco IOS automation."
SRC-ANSIBLE-IOS-COMMAND,Red Hat Ansible,cisco.ios.ios_command Module,Current Ansible collection documentation,https://docs.ansible.com/projects/ansible/latest/collections/cisco/ios/ios_command_module.html,Official module contract for executing show commands and returning evidence.
SRC-CISCO-IOSXE-SNMP,Cisco,Simple Network Management Protocol Configuration,Cisco IOS XE 17.18 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9300/software/release/17-18/configuration_guide/nmgmt/b_1718_nmgmt_9300_cg/configuring_simple_network_management_protocol.html,"SNMP managers, agents, MIBs, notifications, versions, and configuration."
SRC-CISCO-IOSXE-SYSLOG,Cisco,System Message Logging Configuration,Cisco IOS XE 17.17 documentation,https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst9600/software/release/17-17/configuration_guide/sys_mgmt/b_1717_sys_mgmt_9600_cg/configuring_system_message_logs.html,"Syslog format, facilities, severity levels, destinations, and verification."
