test_id,exam_version,objectives_version,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,scope_summary
NET-009,N10-009,6.0,3.0,Network Operations,19,3.1,Explain the purpose of organizational processes and procedures.,"Physical and logical documentation, inventories, IPAM, SLAs, wireless surveys, lifecycle management, change management, and configuration baselines."
NET-009,N10-009,6.0,3.0,Network Operations,19,3.2,"Given a scenario, use network monitoring technologies.","SNMP, flow data, packet capture, baselines, anomaly alerts, log aggregation, SIEM, API integration, port mirroring, discovery, traffic analysis, and availability and configuration monitoring."
NET-009,N10-009,6.0,3.0,Network Operations,19,3.3,Explain disaster recovery (DR) concepts.,"RPO, RTO, MTTR, MTBF, cold, warm, and hot sites, active-active and active-passive availability, tabletop exercises, and validation testing."
NET-009,N10-009,6.0,3.0,Network Operations,19,3.4,"Given a scenario, implement IPv4 and IPv6 network services.","DHCP configuration and relay, SLAAC, DNS security and record types, zones and resolver roles, hosts files, NTP, PTP, and NTS."
NET-009,N10-009,6.0,3.0,Network Operations,19,3.5,Compare and contrast network access and management methods.,"Site-to-site and client-to-site VPNs, clientless access, split and full tunneling, SSH, GUI, API, console, jump hosts, and in-band versus out-of-band management."
NET-009,N10-009,6.0,4.0,Network Security,14,4.1,Explain the importance of basic network security concepts.,"Encryption, certificates and PKI, IAM, MFA, SSO, RADIUS, LDAP, SAML, TACACS+, authorization, least privilege, physical security, deception, risk terminology, compliance, and segmentation."
NET-009,N10-009,6.0,4.0,Network Security,14,4.2,Summarize various types of attacks and their impact to the network.,"DoS and DDoS, VLAN hopping, MAC flooding, ARP and DNS poisoning or spoofing, rogue DHCP and APs, evil twins, on-path attacks, social engineering, and malware."
NET-009,N10-009,6.0,4.0,Network Security,14,4.3,"Given a scenario, apply network security features, defense techniques, and solutions.","Device hardening, NAC, port security, 802.1X, MAC filtering, key management, ACLs, URL and content filtering, trusted and untrusted zones, and screened subnets."
NET-009,N10-009,6.0,5.0,Network Troubleshooting,24,5.1,Explain the troubleshooting methodology.,"Problem identification, theory development, theory testing, action planning, implementation or escalation, verification, preventive measures, and documentation."
NET-009,N10-009,6.0,5.0,Network Troubleshooting,24,5.2,"Given a scenario, troubleshoot common cabling and physical interface issues.","Incorrect media, signal degradation, termination and transmit-receive issues, interface counters and status, PoE faults, transceiver mismatch, and optical signal strength."
NET-009,N10-009,6.0,5.0,Network Troubleshooting,24,5.3,"Given a scenario, troubleshoot common issues with network services.","Spanning-tree loops and roles, VLAN assignment, ACLs, route selection, default routes, address pools, gateways, duplicate addresses, and subnet masks."
NET-009,N10-009,6.0,5.0,Network Troubleshooting,24,5.4,"Given a scenario, troubleshoot common performance issues.","Congestion, bottlenecks, bandwidth, throughput, latency, loss, jitter, wireless interference, channel overlap, signal degradation, coverage, disassociation, and roaming."
NET-009,N10-009,6.0,5.0,Network Troubleshooting,24,5.5,"Given a scenario, use the appropriate tool or protocol to solve networking issues.","Protocol analyzers, ping, traceroute, DNS tools, packet capture, interface and socket tools, Nmap, LLDP and CDP, speed testing, cable and optical tools, Wi-Fi analyzers, taps, and device show commands."
