source_id,organization,title,publication_version,url,notes
SRC-IEEE-8023,IEEE,IEEE Standard for Ethernet,IEEE 802.3,https://standards.ieee.org/ieee/802.3/,Ethernet physical and data-link standards family.
SRC-IEEE-8021AX,IEEE,IEEE Standard for Local and Metropolitan Area Networks: Link Aggregation,IEEE 802.1AX,https://standards.ieee.org/ieee/802.1AX/,Link aggregation architecture and operation.
SRC-RFC2865,IETF,Remote Authentication Dial In User Service (RADIUS),RFC 2865,https://www.rfc-editor.org/info/rfc2865,RADIUS authentication and transport behavior.
SRC-RFC8907,IETF,The Terminal Access Controller Access-Control System Plus (TACACS+) Protocol,RFC 8907,https://www.rfc-editor.org/info/rfc8907,"TACACS+ protocol behavior and separation of authentication, authorization, and accounting."
SRC-MEF-70-2,MEF,SD-WAN Service Attributes and Service Framework,MEF 70.2,https://www.mef.net/resources/mef-70-2-sd-wan-service-attributes-and-service-framework/,"Vendor-neutral SD-WAN service concepts, application flows, policies, underlay connectivity, and externally visible behavior."
SRC-RFC7348,IETF,Virtual eXtensible Local Area Network (VXLAN): A Framework for Overlaying Virtualized Layer 2 Networks over Layer 3 Networks,RFC 7348,https://www.rfc-editor.org/info/rfc7348/,"VXLAN encapsulation, VNIs, overlay networks, and Layer 3 underlay requirements."
SRC-RFC9568,IETF,Virtual Router Redundancy Protocol (VRRP) Version 3 for IPv4 and IPv6,RFC 9568,https://www.rfc-editor.org/info/rfc9568/,Current VRRPv3 specification for a shared virtual router and first-hop redundancy. Obsoletes RFC 5798.
SRC-RFC1542,IETF,Clarifications and Extensions for the Bootstrap Protocol,RFC 1542,https://www.rfc-editor.org/info/rfc1542/,BOOTP relay-agent behavior used with DHCP across routed subnet boundaries.
SRC-RFC4786,IETF,Operation of Anycast Services,RFC 4786 / BCP 126,https://www.rfc-editor.org/info/rfc4786/,Operational model for advertising the same service address from multiple independent service nodes.
SRC-RFC1112,IETF,Host Extensions for IP Multicasting,RFC 1112 / STD 5,https://www.rfc-editor.org/info/rfc1112/,IP multicast host groups and delivery to members of a destination group.
