question_id,test_id,certification,exam_version,objectives_version,question_version,batch_id,domain_id,domain_name,objective_id,objective_text,topic,concept_key,difficulty,question_type,question_style,question_instruction,question_text,answer_a,answer_b,answer_c,answer_d,correct_answers,correct_explanation,answer_a_explanation,answer_b_explanation,answer_c_explanation,answer_d_explanation,study_topics,source_ids,reference_notes,date_added,date_modified,date_reviewed,review_status,reviewer,quality_flags,author_notes
NET009-0000011,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,2.0,Network Implementation,2.2,"Given a scenario, configure switching technologies and features.",Link aggregation,lacp-aggregate-bandwidth-redundancy,medium,single_choice,scenario,Select the best answer.,Two switches have two available 1 Gbps Ethernet links between them. The network team wants increased aggregate capacity and link redundancy without spanning tree blocking one of the links. Which feature should be configured?,Port mirroring,802.1X authentication,LACP link aggregation,Native VLAN tagging,C,"LACP can combine compatible physical links into one logical link. Traffic can be distributed across members, and the logical connection can remain available when one member fails.",Port mirroring copies traffic to a monitoring interface and does not combine links for forwarding.,802.1X controls network access and does not aggregate inter-switch links.,Correct. LACP forms a link aggregation group that provides aggregate capacity and member-link redundancy.,The native VLAN setting controls handling of untagged frames and does not combine physical links.,LACP|Link aggregation|Switch redundancy,SRC-COMPTIA-N10009-V6|SRC-IEEE-8021AX,IEEE 802.1AX defines link aggregation. CompTIA objective 2.2 includes link aggregation and LACP.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000012,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,3.0,Network Operations,3.1,Explain the purpose of organizational processes and procedures.,Change management,change-record-baseline-backout,medium,single_choice,scenario,Select the best answer.,"An undocumented switch configuration change caused an outage, and the operations team could not quickly determine what had changed. Which process improvement would best reduce the chance and impact of a similar event?",Delete older network diagrams after each maintenance window.,Permit emergency changes without recording the final configuration.,Rely on the technician who made the change to remember the previous settings.,"Require an approved change record with a configuration baseline, implementation steps, and a backout plan.",D,"A documented change process provides authorization, records the intended modification, preserves a known baseline, and defines how to reverse the change if validation fails.",Removing older documentation reduces the information available for comparison and recovery.,"Emergency work may require an expedited process, but the final change and resulting configuration should still be recorded.",Personal memory is not a reliable substitute for a controlled configuration record.,"Correct. Approval, baselines, implementation details, and backout procedures support controlled change and faster recovery.",Change management|Configuration baseline|Backout plan,SRC-COMPTIA-N10009-V6,"CompTIA objective 3.1 includes change management, production configuration, backup configuration, and baselines.",2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000013,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,3.0,Network Operations,3.2,"Given a scenario, use network monitoring technologies.",Packet monitoring,port-mirroring-packet-capture,medium,single_choice,scenario,Select the best answer.,Users report intermittent packet loss between an application server and its default gateway. The managed switch supports traffic monitoring features. Which action will let an analyst inspect copies of the affected Ethernet frames without moving the server connection?,Mirror the server port to a packet-analysis port.,Lower the DNS time-to-live value.,Add a static default route to the application server.,Disable SNMP polling on the switch.,A,Port mirroring copies frames from a monitored interface or VLAN to an analyzer interface. A packet analyzer connected to the destination port can inspect the traffic while the original link remains in service.,Correct. Port mirroring supplies a copy of the relevant frames to a packet analyzer.,DNS TTL affects caching of name records and does not expose the packet-level cause of loss between the server and gateway.,A static route is not a monitoring method and may alter traffic before the cause is understood.,Disabling SNMP removes monitoring data and does not provide frame contents.,Port mirroring|Packet capture|Network monitoring,SRC-COMPTIA-N10009-V6,CompTIA objective 3.2 includes port mirroring and packet capture as network monitoring technologies.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000014,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,3.0,Network Operations,3.3,Explain disaster recovery (DR) concepts.,Recovery objectives,rpo-rto-interpretation,hard,single_choice,comparison,Select the best answer.,A service has a recovery point objective of 15 minutes and a recovery time objective of 4 hours. Which statement correctly interprets these targets?,The service must run for 15 minutes before each backup and may lose 4 hours of data.,The recovery design targets no more than 15 minutes of data loss and restoration of service within 4 hours.,The service must be repaired in 15 minutes and tested every 4 hours.,The backup site must be 15 minutes away and remain active for 4 hours.,B,"RPO describes the acceptable amount of data loss measured backward in time, while RTO describes the target duration for restoring the service after disruption. Here, the design targets at most 15 minutes of lost data and service recovery within 4 hours.",This reverses the meaning of the two objectives and treats them as backup scheduling rules.,"Correct. The RPO limits target data loss, and the RTO limits target restoration time.","RPO is not repair time, and RTO is not a testing frequency.",Neither objective specifies the physical distance to a recovery site.,RPO|RTO|Disaster recovery,SRC-COMPTIA-N10009-V6|SRC-NIST-SP800-34R1,NIST contingency-planning guidance defines recovery objectives and planning concepts. CompTIA objective 3.3 includes RPO and RTO.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000015,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,3.0,Network Operations,3.4,"Given a scenario, implement IPv4 and IPv6 network services.",DNS record types,dns-mx-ptr-records,medium,multi_select,direct,Select TWO answers.,A company is publishing email-delivery information and reverse-lookup information in DNS. Which TWO record types should the administrator configure?,CNAME record to identify the receiving mail exchanger,MX record to identify the receiving mail exchanger,PTR record to map an IP address to a host name for reverse lookup,TXT record to map an IP address to a host name for reverse lookup,B|C,An MX record identifies the mail exchanger responsible for receiving email for a domain. A PTR record supports reverse DNS by mapping an address in the reverse namespace to a host name.,A CNAME creates an alias for another canonical name. It is not the record used to publish a domain's mail exchanger.,Correct. MX records identify mail exchangers and include preference values.,Correct. PTR records are used for reverse address-to-name mappings.,TXT records hold arbitrary text and are not the standard reverse-lookup mapping record.,DNS records|MX|PTR|Reverse lookup,SRC-COMPTIA-N10009-V6|SRC-RFC1034|SRC-RFC1035,"RFC 1034 and RFC 1035 define DNS concepts and record behavior, including MX and PTR records.",2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000016,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,4.0,Network Security,4.1,Explain the importance of basic network security concepts.,AAA protocols,radius-vs-tacacs-plus,medium,single_choice,comparison,Select the best answer.,Which comparison between RADIUS and TACACS+ is correct?,"RADIUS uses TCP port 49, while TACACS+ uses UDP port 1812.","RADIUS is limited to wireless clients, while TACACS+ is limited to site-to-site VPNs.","RADIUS commonly uses UDP and often combines authentication with authorization, while TACACS+ uses TCP and separates the AAA functions.",Both protocols transmit the complete authentication exchange as unprotected cleartext.,C,"RADIUS commonly uses UDP for authentication and accounting and often combines authentication and authorization information. TACACS+ uses TCP and supports separate authentication, authorization, and accounting exchanges.","The transports and ports are reversed. TACACS+ uses TCP port 49, while RADIUS commonly uses UDP ports such as 1812 and 1813.",Both protocols can support multiple access scenarios and are not restricted to the listed uses.,Correct. This describes a key operational distinction between the two AAA protocols.,"The protocols provide protection for authentication information, although their protection models differ.",AAA|RADIUS|TACACS+|Authentication,SRC-COMPTIA-N10009-V6|SRC-RFC2865|SRC-RFC8907,RFC 2865 specifies RADIUS. RFC 8907 specifies TACACS+ and its separate AAA exchanges.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000017,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,4.0,Network Security,4.2,Summarize various types of attacks and their impact to the network.,Layer 2 attacks,arp-poisoning-gateway-mac,easy,single_choice,scenario,Select the best answer.,Several users on the same LAN are unexpectedly sending traffic through an unknown workstation. Their ARP caches show the default gateway IP address mapped to the workstation's MAC address. Which attack is most likely occurring?,DNS amplification,VLAN pruning,Password spraying,ARP poisoning,D,"ARP poisoning sends misleading ARP information so systems associate a legitimate IP address, such as the default gateway, with an attacker-controlled MAC address. This can place the attacker in the traffic path.",DNS amplification is a reflection-based denial-of-service technique and does not explain the altered local ARP mappings.,VLAN pruning controls which VLANs traverse a trunk and does not poison host ARP caches.,Password spraying attempts a small number of passwords against many accounts and does not alter IP-to-MAC mappings.,Correct. The gateway IP has been falsely associated with the attacker's MAC address through ARP poisoning.,ARP|ARP poisoning|On-path attacks,SRC-COMPTIA-N10009-V6|SRC-RFC826,RFC 826 defines ARP operation. CompTIA objective 4.2 includes ARP poisoning and spoofing.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000018,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,4.0,Network Security,4.3,"Given a scenario, apply network security features, defense techniques, and solutions.",Network access control,8021x-nac-remediation-vlan,hard,best_available,scenario,Select the BEST answer for enforcing authenticated access and isolating noncompliant endpoints.,A company wants every wired switch port to require user or device credentials before granting normal network access. Endpoints that fail a compliance check should be placed in a restricted remediation VLAN. Which solution best meets the requirement?,802.1X port-based authentication integrated with NAC and a RADIUS server,A static MAC-address allowlist maintained independently on every access switch,A single untagged VLAN configured on all access ports without authentication,Port mirroring from every access port to a packet-capture appliance,A,"802.1X controls access at the switch port, RADIUS provides centralized authentication services, and NAC can evaluate endpoint posture and assign an appropriate access policy or remediation VLAN.",Correct. The combined solution authenticates the connection and can apply a restricted policy to noncompliant endpoints.,"Static MAC filtering is difficult to manage at scale, MAC addresses can be spoofed, and it does not perform the requested credential and posture checks.",An unauthenticated VLAN does not verify users or devices and does not distinguish compliant from noncompliant endpoints.,Port mirroring supports monitoring but does not enforce admission or assign remediation access.,802.1X|NAC|RADIUS|Remediation VLAN,SRC-COMPTIA-N10009-V6|SRC-IEEE-8021X|SRC-RFC2865,"IEEE 802.1X defines port-based network access control. RADIUS can provide centralized authentication. CompTIA objective 4.3 includes NAC, 802.1X, and VLAN assignment.",2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000019,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,5.0,Network Troubleshooting,5.1,Explain the troubleshooting methodology.,Troubleshooting methodology,methodology-test-theory-step,easy,single_choice,direct,Select the best answer.,"After a technician develops a likely theory for the cause of a network problem, what is the next step in the troubleshooting methodology?",Document the findings and lessons learned.,Test the theory to determine the cause.,Establish a plan of action and identify potential effects.,Verify full system functionality and implement preventive measures.,B,"After establishing a theory of probable cause, the technician tests the theory. A confirmed theory supports planning and implementing a correction. An unconfirmed theory leads to a new theory or escalation.",Documentation occurs after resolution and verification.,Correct. The next step is to test the proposed cause.,A plan of action follows confirmation of the cause.,Verification and preventive measures follow implementation of the solution.,Troubleshooting methodology|Theory testing|Problem isolation,SRC-COMPTIA-N10009-V6,CompTIA objective 5.1 lists the troubleshooting methodology in sequence.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000020,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,5.0,Network Troubleshooting,5.2,"Given a scenario, troubleshoot common cabling and physical interface issues.",Fiber interface troubleshooting,sr-lr-fiber-transceiver-mismatch,medium,single_choice,scenario,Select the best answer.,"A new 10 Gbps fiber link remains down. One switch uses a 10GBASE-SR transceiver, the other uses a 10GBASE-LR transceiver, and the installed cable is single-mode fiber. Which issue should the technician correct first?",A missing DNS A record,An exhausted DHCP address pool,The incompatible transceiver and fiber combination,A route-summary statement on the core router,C,"Both ends of a fiber link must use compatible optical standards, wavelengths, and media. SR and LR optics are different physical-layer variants, and SR is not the appropriate optic for the stated single-mode path.",DNS records do not determine whether the physical fiber interface establishes a link.,"DHCP address availability affects client addressing after link establishment, not optical carrier compatibility.",Correct. The optics and installed fiber must be matched at both ends before higher-layer troubleshooting.,Routing configuration does not prevent the physical optical interface from detecting a compatible link.,Fiber troubleshooting|Transceiver mismatch|10GBASE-SR|10GBASE-LR,SRC-COMPTIA-N10009-V6|SRC-IEEE-8023,IEEE 802.3 defines distinct Ethernet optical variants. CompTIA objective 5.2 includes transceiver mismatch and signal issues.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000021,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,5.0,Network Troubleshooting,5.3,"Given a scenario, troubleshoot common issues with network services.",IPv4 service troubleshooting,gateway-outside-local-subnet,hard,single_choice,scenario,Select the best answer.,A workstation is configured as 192.168.40.70/26 with default gateway 192.168.40.1. It can communicate with 192.168.40.65 but cannot reach any remote network. Which configuration issue best explains the symptoms?,The workstation has no DNS search suffix.,The workstation and gateway use duplicate MAC addresses.,The DHCP lease duration is too short.,The default gateway address is outside the workstation's local /26 subnet.,D,"A /26 has blocks of 64 addresses. The workstation address 192.168.40.70 belongs to 192.168.40.64/26, whose usable range is 192.168.40.65 through 192.168.40.126. The configured gateway 192.168.40.1 belongs to 192.168.40.0/26, so the workstation cannot reach it directly as a local gateway.",A DNS search suffix affects name completion but does not prevent IP routing to remote networks.,"A duplicate MAC address could cause local instability, but the addresses shown directly identify a subnet and gateway mismatch.","The workstation already has a valid address and local connectivity, so lease duration does not explain the unreachable gateway.","Correct. The host is in 192.168.40.64/26, while 192.168.40.1 is in a different /26 subnet.",Default gateway|Subnet mask|IPv4 troubleshooting,SRC-COMPTIA-N10009-V6|SRC-RFC4632|SRC-RFC1918,Programmatic check: 192.168.40.70/26 is in 192.168.40.64 through .127. Usable addresses are .65 through .126. Gateway .1 is outside that subnet.,2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
NET009-0000022,NET-009,CompTIA Network+,N10-009,6.0,1,NET009-BATCH-001,5.0,Network Troubleshooting,5.4,"Given a scenario, troubleshoot common performance issues.",Wireless performance,wifi-channel-overlap-remediation,medium,single_choice,scenario,Select the best answer.,"A small office has four nearby 2.4 GHz access points configured on channels 1, 4, 8, and 11. Users report high retransmission rates and inconsistent throughput. Which change is the best first step?","Redesign the channel plan to use non-overlapping channels such as 1, 6, and 11, and move capable clients to 5 GHz where appropriate.",Set every access point to maximum transmit power.,Configure 40 MHz channels across the 2.4 GHz band.,Assign a different SSID to every access point while retaining the same channels.,A,"Channels 4 and 8 overlap with nearby 2.4 GHz channels, which can increase contention and retransmissions. A non-overlapping plan and appropriate use of 5 GHz reduce co-channel and adjacent-channel interference.",Correct. Channel planning directly addresses the overlap and can improve spectrum use.,Increasing power on every AP can enlarge contention areas and make interference worse.,Wider 2.4 GHz channels consume more of the limited band and can increase overlap.,Changing SSIDs does not remove radio-frequency overlap or contention.,Wireless interference|Channel overlap|2.4 GHz|5 GHz,SRC-COMPTIA-N10009-V6|SRC-IEEE-80211,"CompTIA objective 5.4 includes channel overlap, interference, and wireless performance. IEEE 802.11 defines wireless LAN operation.",2026-07-25,2026-07-25,2026-07-25,approved,CertHappens accelerated internal review,,Accelerated staging approval authorized by the repository owner on 2026-07-25.
